date,headline,url
01-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,sensex falls these stocks fell 5 or more in mondays session,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update stocks that hit 52 week highs on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty realty index advances 0 73,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,tech view nifty bulls show indecisiveness at peak what traders should do on tuesday,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,nifty bank closes lower amid profit booking 48000 may act as strong support,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update stocks that hit 52 week lows on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty pharma index falls 0 17,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty bank index falls 0 45,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update fmcg stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,sensex nifty close flat in new years first trading session dragged by banking stocks,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty auto index advances 1 14,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty it index falls 0 49,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,nifty overvalued by 20 says kotak equities picks britannia ntpc for its portfolio all season portfolio,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,colgate palmolive shares down 1 65 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of chola inv finance falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,max healthcare shares rise 0 23 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of ltimindtree falls as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,adani power shares gain 0 22 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,mphasis shares gain 0 33 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,au small fin bank stock price down 0 68 per cent as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of shriram finance rises as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,avenue supermart shares down 0 32 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,shares of lupin fall as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,marico shares fall 0 49 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,jubilant food declines 0 47 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty bank index falls 0 45 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,icici lombard shares gain 0 15 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update stocks that hit 52 week highs on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,varun beverages shares gain 0 55 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,ambuja cements shares up 0 71 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty realty index advances 0 73 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of sbi card jumps as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,pi industries shares drop 0 33 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,how much can nifty go up in 2024 after record shattering 2023 lets do some crystal gazing,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,crompton greaves declines 0 28 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,tata elxsi shares gain 0 12 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of tube investments jumps as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty auto index advances 1 14 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of bharat forge rises as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty it index falls 0 49 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,bajaj holdings shares gain 1 21 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,sensex falls these stocks are down 5 or more on bse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update fmcg stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update stocks that hit 52 week lows on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,indian oil corp shares rise 1 65 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,sensex nifty start 2024 on a muted note tracking mixed global cues,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update nifty pharma index falls 0 17 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,tata power shares up 0 49 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,irctc shares gain 1 98 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,bel shares gain 1 24 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,gail shares gain 3 23 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,etmarkets smart talk manish sonthalia sees nifty24500 in 2024 gives 5 reasons why markets unlikely to fall big,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,is the stock market closed for new years day on january 1,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,nifty 50 likely to continue its rally,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,indian hotels stock price down 0 52 per cent as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,united spirits shares down 0 31 as nifty falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,dlf shares rise 0 17 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,share price of havells india falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,pidilite ind stock price down 0 41 per cent as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,info edge shares drop 0 1 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,icici pru life shares down 0 43 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,shree cements shares drop 0 29 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,godrej consumer shares up 0 98 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,vedanta shares rise 0 07 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,top nifty50 stocks analysts suggest buying this week,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
01-Jan-2024,srf shares up 0 07 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45292.cms"
02-Jan-2024,tech view nifty candle hints at bearishness in near term what traders should do on wednesday,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty pharma index falls 0 17,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty bank index falls 0 45,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update fmcg stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update stocks that hit 52 week lows on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,nifty bank falls nearly 1 forms bearish marubozu candle on daily charts,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update stocks that hit 52 week highs on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,sensex falls 600 points 7 reasons why bulls are having a second thought on 2nd day of 2024,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty realty index advances 0 73,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty it index falls 0 49,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,sensex falls these stocks fell 5 or more in tuesdays session,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty auto index advances 1 14,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,ashok leyland shares fall 3 27 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of ambuja cements falls as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,mphasis shares down 2 65 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,bel shares drop 1 83 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,icici lombard shares down 0 78 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,nifty to head towards 22 23k in a couple of months 2 pharma stocks to buy mileen vasudeo,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,adani power shares drop 1 21 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,ltimindtree shares down 2 09 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,shriram finance shares down 1 02 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of united spirits falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,shares of jubilant food fall as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,marico shares drop 0 72 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,indian hotels shares decline 1 55 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,technical stock pick this sensex stock from telecom space likely to surpass 1100 levels to hit fresh record highs,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update fmcg stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of page industries falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,siemens shares decline 0 53 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,vedanta stock price down 0 77 per cent as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update stocks that hit 52 week lows on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,bank of baroda shares drop 1 36 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,voltas shares decline 0 43 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty bank index falls 0 45 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,sensex falls these stocks are down 5 or more on bse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,banking and it stocks drag sensex 100 points lower nifty near 21700,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,srf shares drop 0 36 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
